Updates,Timesteps,FPS,reward_mean,reward_median,space_ratio,items_packed,loss_entropy,loss_value,loss_action,loss_infeasibility,popart_mean,popart_std
5,2400,148,0.13,0.13,0.400,74.60,1.8603,16.2813,0.3701,0.0002,0.001,1.004
10,4800,252,0.10,0.11,0.344,64.20,2.7127,170.2036,-0.6869,0.0002,-0.002,1.029
15,7200,326,0.11,0.10,0.339,63.20,2.8257,3.1855,-0.0745,0.0002,-0.009,1.085
20,9600,390,0.11,0.11,0.358,66.80,2.8924,81.8725,0.2962,0.0002,-0.005,1.123
25,12000,431,0.06,0.07,0.357,66.60,3.1151,2.8378,-0.4415,0.0002,-0.001,1.145
30,14400,468,0.12,0.14,0.385,71.80,3.4179,3.1690,-0.4175,0.0002,-0.004,1.158
35,16800,491,0.14,0.14,0.392,73.10,3.5482,20.9196,0.3970,0.0002,-0.001,1.175
40,19200,520,0.08,0.08,0.376,70.20,3.5517,2.1181,-0.3086,0.0002,0.003,1.194
45,21600,537,0.04,0.05,0.372,69.40,3.9914,58.0843,-0.0077,0.0002,-0.004,1.249
50,24000,560,0.02,0.02,0.370,69.00,4.6645,51.2604,0.1392,0.0001,-0.013,1.341
55,26400,572,0.04,0.04,0.371,69.20,4.9000,65.7606,0.8250,0.0001,-0.012,1.369
60,28800,591,0.04,0.05,0.363,67.70,4.3933,54.7343,-0.6448,0.0001,-0.006,1.413
65,31200,599,0.06,0.07,0.351,65.60,4.7552,444.4211,-1.0291,0.0001,-0.016,1.569
70,33600,614,0.08,0.07,0.363,67.80,4.3628,67.3898,-0.5038,0.0001,-0.036,1.879
75,36000,620,0.07,0.08,0.360,67.20,3.9275,583.2207,0.4620,0.0002,-0.026,2.164
80,38400,633,0.06,0.05,0.361,67.30,3.8789,2339.4033,0.9401,0.0002,0.013,3.090
85,40800,636,0.09,0.09,0.368,68.70,4.8160,292.6067,1.2166,0.0001,0.051,3.684
90,43200,645,0.04,0.03,0.354,66.00,5.3935,18.0413,-0.7130,0.0001,0.056,3.738
95,45600,649,0.03,0.03,0.350,65.30,4.1602,18.6235,-0.1150,0.0002,0.047,3.766
100,48000,658,0.00,0.03,0.351,65.50,4.2881,26.7251,1.8454,0.0001,0.047,3.775
105,50400,663,0.01,0.02,0.354,66.00,5.2299,3.8952,-0.5196,0.0001,0.052,3.783
110,52800,672,-0.03,-0.02,0.346,64.50,4.5631,6.9763,-1.1326,0.0001,0.049,3.787
115,55200,674,-0.01,0.01,0.347,64.70,4.4400,0.4492,1.0522,0.0001,0.048,3.788
120,57600,683,0.03,0.02,0.365,68.20,4.6748,0.3247,-1.1483,0.0001,0.049,3.788
125,60000,684,-0.01,-0.01,0.350,65.30,5.2651,0.8054,-0.2598,0.0001,0.048,3.787
