Updates,Timesteps,FPS,reward_mean,reward_median,space_ratio,items_packed,loss_entropy,loss_value,loss_action,loss_infeasibility,popart_mean,popart_std,new_best_model
5,2400,168,0.23,0.28,0.475,30.40,1.7533,3.0295,0.1493,0.0006,0.001,1.002,1
10,4800,288,-0.10,-0.12,0.389,24.90,2.6196,18.6316,0.8877,0.0006,0.000,1.006,0
15,7200,372,-0.15,-0.18,0.355,22.70,3.2893,2.6121,-0.8545,0.0006,-0.000,1.007,0
20,9600,451,-0.10,-0.12,0.342,21.90,4.2977,0.1856,-0.9311,0.0005,-0.000,1.007,0
25,12000,498,-0.10,-0.11,0.333,21.30,4.4929,4.6161,-0.8309,0.0005,-0.001,1.008,0
30,14400,548,-0.07,-0.06,0.344,22.00,4.6881,1.0580,0.7651,0.0004,-0.001,1.008,0
35,16800,576,-0.14,-0.16,0.319,20.40,5.0335,1.4727,-0.8079,0.0004,-0.001,1.008,0
40,19200,612,-0.11,-0.09,0.336,21.50,5.4364,0.9219,0.8124,0.0004,-0.001,1.008,0
45,21600,630,-0.13,-0.15,0.348,22.30,5.6342,0.1056,-1.0750,0.0004,-0.001,1.008,0
50,24000,658,-0.11,-0.15,0.339,21.70,5.5052,0.0792,0.5470,0.0004,-0.001,1.008,0
55,26400,670,-0.08,-0.08,0.350,22.40,5.3639,0.2546,0.5835,0.0004,-0.001,1.008,0
60,28800,693,-0.07,-0.07,0.366,23.40,5.4220,0.0659,-0.8615,0.0004,-0.001,1.007,0
65,31200,701,-0.09,-0.12,0.348,22.30,5.6346,0.1780,-0.4281,0.0004,-0.002,1.007,0
70,33600,720,-0.14,-0.12,0.341,21.80,6.0672,0.0125,0.1231,0.0004,-0.002,1.007,0
75,36000,724,-0.06,-0.04,0.370,23.70,5.4694,0.0453,0.2143,0.0004,-0.002,1.007,0
80,38400,741,0.02,0.03,0.402,25.70,4.7517,0.0142,-0.7452,0.0003,-0.002,1.006,0
85,40800,746,0.12,0.11,0.425,27.20,4.1030,0.0252,-0.1573,0.0004,-0.002,1.006,0
90,43200,761,0.14,0.14,0.448,28.70,4.3703,0.0140,-0.6987,0.0004,-0.002,1.006,0
95,45600,767,0.17,0.17,0.447,28.60,4.0584,0.0188,-0.8911,0.0003,-0.002,1.006,0
100,48000,778,0.27,0.24,0.491,31.40,3.1295,0.0109,0.2890,0.0003,-0.002,1.005,1
105,50400,780,0.49,0.50,0.553,35.40,2.0252,0.0100,0.1408,0.0004,-0.002,1.005,1
110,52800,790,0.52,0.52,0.559,35.80,1.4700,0.0316,-0.0634,0.0005,-0.001,1.005,1
115,55200,795,0.49,0.49,0.562,36.00,1.5212,0.0796,0.0030,0.0005,-0.001,1.005,1
120,57600,805,0.52,0.53,0.562,36.00,1.5462,0.0361,0.1695,0.0005,-0.001,1.005,0
